SA3_CODE21,fire_count,area_km2,fire_density
20201,4.0,278.9899368558428,14.3
20202,45.0,3933.3493062128096,11.4
20203,197.0,7636.959877136542,25.8
20301,166.0,2587.1414425379444,64.2
20302,17.0,912.3586717210889,18.6
20303,10.0,948.580370304746,10.5
20401,226.0,13936.779737228033,16.2
20402,360.0,6564.804515722589,54.8
20403,1777.0,13495.273123391382,131.7
20501,72.0,3958.086418206133,18.2
20502,4618.0,21758.476582962237,212.2
20503,10.0,4407.329981236621,2.3
20504,9.0,1481.8597552709298,6.1
20505,173.0,10054.782237091713,17.2
20601,,19.686415025441452,
20602,,11.31193428747458,
20603,,18.78131452650449,
20604,,33.437818793023176,
20605,,27.085338142918825,
20606,,11.671018105398815,
20607,,24.126629477967136,
20701,,59.86177803021853,
20702,,47.93194698768638,
20703,,40.72675400119311,
20801,,30.10568696100352,
20802,,41.98737369728739,
20803,,74.35884329884809,
20804,,11.47312090018731,
20901,,65.74252501258076,
20902,,38.90005428573597,
20903,3.0,743.7851479445925,4.0
20904,7.0,1009.2270291535388,6.9
21001,,41.87954874671108,
21002,3.0,980.9263724615048,3.1
21003,,26.881317620576777,
21004,2.0,267.94332565654884,7.5
21005,2.0,290.2317560781452,6.9
21101,,116.74828069049568,
21102,,69.8180402035989,
21103,,63.78419710500966,
21104,,23.03180543572923,
21105,7.0,1597.6228389118196,4.4
21201,,1280.4846330519613,
21202,,121.18864603487128,
21203,,282.0490686931551,
21204,,146.48599423870954,
21205,,84.41635975931032,
21301,,110.13259850695906,
21302,,67.85864506033356,
21303,,24.43523993356359,
21304,3.0,676.5346092523666,4.4
21305,4.0,554.4363095875364,7.2
21401,,135.33541799977596,
21402,1.0,748.9146211336987,1.3
21501,2334.0,38191.37840874537,61.1
21502,141.0,22089.586986324408,6.4
21503,157.0,17847.524314941245,8.8
21601,165.0,4539.406702322883,36.3
21602,323.0,4043.245014735053,79.9
21603,168.0,2341.8341253579874,71.7
21701,480.0,12958.656418559009,37.0
21703,393.0,7959.099711584707,49.4
21704,192.0,5509.093195241604,34.9
29797,,,
29999,,,
30101,,87.11956363057081,
30102,2.0,474.289638456216,4.2
30103,,76.54345194577414,
30201,,33.33212214510309,
30202,,28.431237754750924,
30203,,89.17515896348036,
30204,,33.93832017293375,
30301,,25.120347266740456,
30302,,31.123034581934157,
30303,,85.94996544164708,
30304,,20.24165791898226,
30305,,79.2113681589435,
30306,,22.43238653431033,
30401,,10.186111500189249,
30402,,134.20989842224213,
30403,,22.920572832733757,
30404,,96.91243641448236,
30501,,10.6805971435927,
30502,,18.27321599387444,
30503,,34.69956716848956,
30504,,22.213598457231598,
30601,,159.87467063434042,
30602,,628.0425845128015,
30603,32.0,6022.917830319894,5.3
30604,108.0,2431.0919214366613,44.4
30605,901.0,12137.960017382518,74.2
30701,7581.0,141265.9880294511,53.7
30702,996.0,16623.63278425503,59.9
30703,358.0,8439.292558060213,42.4
30801,4419.0,60231.344880966055,73.4
30803,993.0,18325.89426883009,54.2
30804,1930.0,28533.204543621287,67.6
30805,758.0,10486.041790690584,72.3
30901,,36.40501807468124,
30902,,39.74713448715106,
30903,,43.471966634750494,
30904,5.0,826.6803323121763,6.0
30905,,195.09823117122735,
30906,1.0,117.40163861158584,8.5
30907,4.0,528.5343126870324,7.6
30908,,25.599143976586618,
30909,,33.01737083006813,
30910,,21.08064897212107,
31001,,72.49879375366324,
31002,120.0,6146.817993327667,19.5
31003,8.0,368.1995811028002,21.7
31004,,109.27196398082712,
31101,77.0,1615.7787807541106,47.7
31102,,52.11796274450785,
31103,4.0,167.95996608301934,23.8
31104,34.0,597.2454714791743,56.9
31105,,92.25554104348826,
31106,,53.8627284321096,
31201,3126.0,79803.54132744513,39.2
31202,236.0,7611.9439090070655,31.0
31203,123.0,2631.477786029798,46.7
31301,,246.0786849127937,
31302,4.0,319.4469435206664,12.5
31303,145.0,3397.688126092516,42.7
31304,1.0,182.95304811903296,5.5
31305,4.0,214.162516721426,18.7
31401,1.0,658.4432472877093,1.5
31402,,68.25144482469248,
31403,,40.18299613446142,
31501,38904.0,250709.16498675768,155.2
31502,26053.0,307251.129313482,84.8
31503,5399.0,625383.9393247847,8.6
31601,,78.37537896471123,
31602,,118.92158265624536,
31603,1.0,76.09492238751238,13.1
31605,,89.93664030073387,
31606,15.0,1547.6651920639351,9.7
31607,5.0,341.3203630959188,14.6
31608,8.0,834.8810707144079,9.6
31701,34.0,2270.711773338729,15.0
31801,4342.0,76180.59132060749,57.0
31802,201.0,3840.887931900316,52.3
31901,274.0,3821.2488608955578,71.7
31902,3399.0,30720.672364224112,110.6
31903,261.0,7050.171706359945,37.0
31904,1.0,259.9548524223851,3.8
31905,700.0,6699.872945344764,104.5
39797,,,
39999,,,
40101,,14.56915688998355,
40102,2.0,1385.36506693849,1.4
40103,,27.242231742403337,
40104,,24.04177518523468,
40105,,12.116751148089635,
40106,,11.37137615404002,
40107,,13.552343208620789,
40201,11.0,302.57369756570847,36.4
40202,3.0,368.9672103401458,8.1
40203,,38.36541158502878,
40204,,145.38101184619234,
40205,,96.42922077653606,
40301,,16.698612064559537,
40302,,48.15942211687607,
40303,1.0,73.51834549367409,13.6
40304,,519.6708861215899,
40401,,53.438542217984,
40402,,71.36738314708914,
40403,,35.98596017749606,
40501,28.0,2842.969080269872,9.8
40502,101.0,13747.20199537068,7.3
40503,54.0,14430.84348416682,3.7
40504,42.0,6757.711993854136,6.2
40601,1183.0,235490.59953268967,5.0
40602,2436.0,642156.6850078801,3.8
40701,857.0,7420.678470758136,115.5
40702,388.0,21351.95476824921,18.2
40703,155.0,36814.85481810192,4.2
49797,,,
49999,,,
50101,278.0,3704.3449556285696,75.0
50102,400.0,5462.366382171862,73.2
50103,1499.0,15743.62422369326,95.2
50201,21.0,1061.655622551428,19.8
50301,,50.391032199287054,
50302,,43.63155460992643,
50401,,45.86996804678776,
50402,44.0,693.6060727448601,63.4
50403,187.0,1034.6530919280024,180.7
50501,,93.32947657521365,
50502,,100.13964787176988,
50503,180.0,711.7451222753429,252.9
50601,89.0,560.8598449068655,158.7
50602,,59.99461027964887,
50603,2.0,66.83733797953596,29.9
50604,6.0,125.11609761376266,48.0
50605,42.0,285.1505070140056,147.3
50606,99.0,899.2117570148362,110.1
50607,,18.31594471805936,
50701,1.0,151.71820627423045,6.6
50702,,40.09185558970171,
50703,6.0,118.75719931266994,50.5
50704,,52.59843355354047,
50705,6.0,255.39969677420663,23.5
50901,1167.0,37932.88011054369,30.8
50902,3242.0,110729.0983547016,29.3
50903,1902.0,48676.11756859109,39.1
51001,68714.0,418933.4043192157,164.0
51002,21408.0,390733.1264174577,54.8
51003,5537.0,115934.78672693884,47.8
51101,1883.0,55721.96144991303,33.8
51102,2118.0,135150.53181074437,15.7
51103,7221.0,714563.7615829675,10.1
51104,1668.0,466725.23323158,3.6
59797,,,
59999,,,
60101,,180.73060522191847,
60102,1.0,266.38766781057166,3.8
60103,3.0,166.81320334921227,18.0
60104,1.0,328.0339079225134,3.0
60105,,58.6815068262417,
60106,16.0,681.9938797952967,23.5
60201,14.0,265.0636877100881,52.8
60202,72.0,3988.714123230972,18.1
60203,491.0,15718.976864036324,31.2
60301,332.0,18427.36447820251,18.0
60302,41.0,2178.1203908478647,18.8
60303,32.0,3193.382134760635,10.0
60401,46.0,1596.2847732128066,28.8
60402,28.0,1885.178022078423,14.9
60403,188.0,19063.683503220505,9.9
69797,,,
69999,,,
70101,,46.36459518546427,
70102,13.0,139.83297334983817,93.0
70103,952.0,2910.85814920387,327.1
70104,2.0,49.7420129215612,40.2
70201,37699.0,569804.6720815381,66.2
70202,35989.0,303174.7843904722,118.7
